,eventID,account_admin,account_dcadmin,account_user103,process_c:\windows\system32\hostname.exe,process_c:\windows\system32\ipconfig.exe,process_c:\windows\system32\netsh.exe,process_c:\windows\system32\netstat.exe,process_c:\windows\system32\ping.exe,process_c:\windows\system32\services.exe,process_c:\windows\system32\wbem\wmic.exe,process_c:\windows\system32\wbem\wmiprvse.exe,objectname_psexesvc,target_train
24636,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24637,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24639,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24640,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24642,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24643,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24645,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24646,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24648,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24649,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24651,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24652,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24654,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24655,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24657,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24658,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24660,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24661,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24663,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24664,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24666,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24667,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24669,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24670,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24672,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24673,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24675,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24676,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24678,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24679,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24681,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24682,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24684,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24685,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24687,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24688,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24690,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24691,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24693,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24694,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24696,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
24697,4674,0,1,0,0,0,0,0,1,0,0,0,0,1
