,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
2022,2019-06-02T22:31:40.465Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-20
2023,2019-06-02T22:32:10.932Z,4672,dc$,,,,,,
2024,2019-06-02T22:32:39.683Z,4672,dc$,,,,,,
2025,2019-06-02T22:32:39.683Z,4672,dc$,,,,,,
2026,2019-06-02T22:32:39.683Z,4672,dc$,,,,,,
2027,2019-06-02T22:32:39.683Z,4672,dc$,,,,,,
2028,2019-06-02T22:37:43.025Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\ipc$,s-1-5-18
2029,2019-06-02T22:32:39.683Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2030,2019-06-02T22:32:40.198Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2031,2019-06-02T22:32:40.198Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2032,2019-06-02T22:37:43.025Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2033,2019-06-02T22:37:43.540Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2034,2019-06-02T22:37:43.540Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2035,2019-06-02T22:37:43.540Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2036,2019-06-02T22:38:11.012Z,4672,dc$,,,,,,
2037,2019-06-02T22:39:11.025Z,4672,dc$,,,,,,
2038,2019-06-02T22:40:11.038Z,4672,dc$,,,,,,
2039,2019-06-02T22:41:11.052Z,4672,dc$,,,,,,
2040,2019-06-02T22:41:26.745Z,4672,dc$,,,,,,
2041,2019-06-02T22:41:26.761Z,4672,dc$,,,,,,
2042,2019-06-02T22:42:11.065Z,4672,dc$,,,,,,
2043,2019-06-02T22:42:46.368Z,4672,dc$,,,,,,
2044,2019-06-02T22:42:46.368Z,4672,dc$,,,,,,
2045,2019-06-02T22:42:46.368Z,4672,dc$,,,,,,
2046,2019-06-02T22:42:46.368Z,4672,dc$,,,,,,
2047,2019-06-02T22:42:46.368Z,5140,dc$,fe80::408:e75b:6dd3:2c05,,,,\*\sysvol,s-1-5-18
2048,2019-06-02T22:42:46.882Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2049,2019-06-02T22:42:46.882Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2050,2019-06-02T22:42:46.882Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
2051,2019-06-02T22:43:11.078Z,4672,dc$,,,,,,
2052,2019-06-02T22:44:11.091Z,4672,dc$,,,,,,
2053,2019-06-02T22:44:11.107Z,4769,dc$,::1,,,,,
2054,2019-06-02T22:45:11.104Z,4672,dc$,,,,,,
2055,2019-06-02T22:45:42.414Z,4672,dc$,,,,,,
